pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	PPI
2uzi	H	L	0	R	protein		gtpase hras	SIGNALING PROTEIN/IMMUNE SYSTEM	04/27/07	Crystal structure of HRAS(G12V) - anti-RAS Fv complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Tanaka, T., williams, R.L., Rabbitts, T.H.	2.0	X-RAY DIFFRACTION	0.271	0.19399999999999998	False	True	IGHV3	IGKV1	Kappa	6.20E-09	-11.19	SPR	25	17568777	2UZI_HL_R
6aq7	H	L	0	A	protein		major prion protein	IMMUNE SYSTEM	08/18/17	Structure of POM6 FAB fragment complexed with mouse PrPc	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Baral, P.K., Swayampakula, M., James, M.N.G.	1.83	X-RAY DIFFRACTION	0.230	0.19699999999999998	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	6AQ7_HL_A
3se9	H	L	0	G	protein		hiv-1 clade ae strain 93th057 gp120	VIRAL PROTEIN/IMMUNE SYSTEM	06/10/11	Crystal structure of broadly and potently neutralizing antibody VRC-PG04 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kwong, P.D., Zhou, T.	2.0	X-RAY DIFFRACTION	0.233	0.19	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	3SE9_HL_G
3sge	H	L	0	K	peptide		r13 peptide	IMMUNE SYSTEM	06/14/11	Crystal structure of mAb 17.2 in complex with R13 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Pizarro, J.C., Boulot, G., Hontebeyrie, M., Bentley, G.A.	1.89	X-RAY DIFFRACTION	0.211	0.179	False	True	IGHV10	IGKV1	Kappa	None	None	None	None	None	3SGE_HL_K
3sge	J	I	0	M	peptide		r13 peptide	IMMUNE SYSTEM	06/14/11	Crystal structure of mAb 17.2 in complex with R13 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Pizarro, J.C., Boulot, G., Hontebeyrie, M., Bentley, G.A.	1.89	X-RAY DIFFRACTION	0.211	0.179	False	True	IGHV10	IGKV1	Kappa	None	None	None	None	None	3SGE_JI_M
6k0y	A	B	0	C	protein		programmed cell death protein 1	IMMUNE SYSTEM	05/08/19	Study of the interactions of a novel monoclonal antibody, mAb059c, with the hPD-1 receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Liu, J.X., Wang, G.Q.	1.7	X-RAY DIFFRACTION	0.214	0.171	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None	6K0Y_AB_C
4tuj	A	B	0	E	peptide		peptide1	IMMUNE SYSTEM	06/24/14	Crystal structure of monoclonal antibody against neuroblastoma associated antigen.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Grudnik, P., Golik, P., Horwacik, I., Zdzalik, M., Rokita, H., Dubin, G.	1.89	X-RAY DIFFRACTION	0.232	0.179	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	4TUJ_AB_E
4tuj	C	D	0	F	peptide		peptide1	IMMUNE SYSTEM	06/24/14	Crystal structure of monoclonal antibody against neuroblastoma associated antigen.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Grudnik, P., Golik, P., Horwacik, I., Zdzalik, M., Rokita, H., Dubin, G.	1.89	X-RAY DIFFRACTION	0.232	0.179	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	4TUJ_CD_F
6az2	C	E	0	D	protein		histone chaperone asf1	IMMUNE SYSTEM	09/09/17	Crystal structure of Asf1-Fab 12E complex	HOMO SAPIENS; SACCHAROMYCES CEREVISIAE (STRAIN ATCC 204508 / S288C)	homo sapiens	homo sapiens	saccharomyces cerevisiae (strain atcc 204508 /s288c) 	Bailey, L.J., Kossiakoff, A.A.	2.477	X-RAY DIFFRACTION	0.228	0.193	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6AZ2_CE_D
6az2	A	F	0	B	protein		histone chaperone asf1	IMMUNE SYSTEM	09/09/17	Crystal structure of Asf1-Fab 12E complex	HOMO SAPIENS; SACCHAROMYCES CEREVISIAE (STRAIN ATCC 204508 / S288C)	homo sapiens	homo sapiens	saccharomyces cerevisiae (strain atcc 204508 /s288c) 	Bailey, L.J., Kossiakoff, A.A.	2.477	X-RAY DIFFRACTION	0.228	0.193	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6AZ2_AF_B
6wg0	H	L	0	P	peptide		npna3 peptide	IMMUNE SYSTEM	04/04/20	Crystal structure of Fab366 in complex with NPNA3 peptide from circumsporozoite protein	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Pholcharee, T., Oyen, D., Wilson, I.A.	1.599	X-RAY DIFFRACTION	0.211	0.18899999999999997	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6WG0_HL_P
5nmv	H	L	0	K	protein		tissue factor pathway inhibitor	IMMUNE SYSTEM	04/07/17	Crystal structure of 2F22 Fab fragment against TFPI1	MUS; HOMO SAPIENS	mus	mus	homo sapiens	Svensson, L.A., Petersen, H.H.	1.65	X-RAY DIFFRACTION	0.202	0.175	False	True	IGHV2	IGKV6	Kappa	None	None	None	None	None	5NMV_HL_K
6vy6	H	L	0	A	protein		receptor binding protein	VIRAL PROTEIN/IMMUNE SYSTEM	02/25/20	Crystal structure of Hendra receptor binding protein head domain in complex with human neutralizing antibody HENV-26	HENDRA HENIPAVIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	hendra henipavirus	Dong, J., Crowe, J.E.	2.6	X-RAY DIFFRACTION	0.247	0.19699999999999998	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None	6VY6_HL_A
4ydk	H	L	0	G	protein		envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC16.01 in complex with HIV-1 clade AE strain 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Zheng, A., Kwong, P.D.	2.051	X-RAY DIFFRACTION	0.206	0.166	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	4YDK_HL_G
6phc	A	B	0	I	protein		25 kda ookinete surface antigen	IMMUNE SYSTEM	06/25/19	Pfs25 in complex with the human transmission blocking antibody 2544	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	McLeod, B.R., Julien, J.P.	2.9	X-RAY DIFFRACTION	0.238	0.2	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None	6PHC_AB_I
6phc	C	D	0	E	protein		25 kda ookinete surface antigen	IMMUNE SYSTEM	06/25/19	Pfs25 in complex with the human transmission blocking antibody 2544	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	McLeod, B.R., Julien, J.P.	2.9	X-RAY DIFFRACTION	0.238	0.2	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None	6PHC_CD_E
6mqe	A	B	0	D	peptide		hiv fusion peptide	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody DFPH-a.15 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	2.459	X-RAY DIFFRACTION	0.245	0.192	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None	6MQE_AB_D
6mqe	H	L	0	C	peptide		hiv fusion peptide	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody DFPH-a.15 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	2.459	X-RAY DIFFRACTION	0.245	0.192	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None	6MQE_HL_C
3mac	H	L	0	A	protein		transmembrane glycoprotein	IMMUNE SYSTEM	03/23/10	crystal structure of GP41-derived protein complexed with fab 8062	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Li, M., Gustchina, E., Louis, J., Gustchina, A., Wlodawer, A., Clore, M.	2.5	X-RAY DIFFRACTION	0.264	0.2	False	True	IGHV1	IGLV3	Lambda	2.00E-07	-9.23	ITC	28	21085615	3MAC_HL_A
6w00	H	L	0	P	peptide		npna2 peptide	IMMUNE SYSTEM	02/28/20	Crystal structure of Fab239 in complex with NPNA2 peptide from circumsporozoite protein	STREPTOCOCCUS SP. GROUP G; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Pholcharee, T., Oyen, D., Wilson, I.A.	1.8530000000000002	X-RAY DIFFRACTION	0.206	0.187	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6W00_HL_P
2xwt	A	B	0	C	protein		thyrotropin receptor	SIGNALING PROTEIN/IMMUNE SYSTEM	11/05/10	Crystal structure of the TSH receptor in complex with a blocking type  TSHR autoantibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Sanders, J., Sanders, P., Young, S., Kabelis, K., Baker, S., Sullivan, A., Evans, M., Clark, J., Wilmot, J., Hu, X., Roberts, E., Powell, M., Nunez Miguel, R., Furmaniak, J., Rees Smith, B.	1.9	X-RAY DIFFRACTION	0.22674	0.17690999999999998	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None	2XWT_AB_C
4nzr	H	L	0	M	protein		protein m td	IMMUNE SYSTEM/PROTEIN BINDING	12/12/13	Crystal structure of the antibody-binding region of Protein M (Protein M TD) in complex with anti-HIV antibody PGT135 Fab	HOMO SAPIENS; MYCOPLASMA GENITALIUM	homo sapiens	homo sapiens	mycoplasma genitalium	Zhu, X., Wilson, I.A.	1.65	X-RAY DIFFRACTION	0.186	0.154	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	4NZR_HL_M
6b3d	H	L	0	H	carbohydrate	MAN	polysaccharide	IMMUNE SYSTEM	09/21/17	Crystal structure of anti-HIV antibody PGT128 in complex with a bacterially derived synthetic mimetic of Man9.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Murrell, S., Wilson, I.A.	2.271	X-RAY DIFFRACTION	0.198	0.163	False	True	unknown	IGLV2	Lambda	None	None	None	None	None	6B3D_HL_H
5u3o	H	L	0	A	peptide		gp41 mper peptide	IMMUNE SYSTEM/VIRAL PROTEIN	12/02/16	Crystal Structure of DH511.2_K3 Fab in Complex with HIV-1 gp41 MPER Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Wu, L., Lougheed, C.S., Williams, L.D., Nicely, N.I., Haynes, B.F.	1.761	X-RAY DIFFRACTION	0.192	0.161	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	5U3O_HL_A
5u3n	H	L	0	A	peptide		gp41 mper peptide	IMMUNE SYSTEM/VIRAL PROTEIN	12/02/16	Crystal Structure of DH511.12P Fab in Complex with HIV-1 gp41 MPER Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Wu, L., Lougheed, C.S., Williams, L.D., Nicely, N.I., Haynes, B.F.	2.0	X-RAY DIFFRACTION	0.228	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	5U3N_HL_A
4ot1	H	L	0	A	protein		envelope glycoprotein b	VIRAL PROTEIN/IMMUNE SYSTEM	02/13/14	Structural Basis for the Recognition of Human Cytomegalovirus Glycoprotein B by the Neutralizing Human Antibody SM5-1	HOMO SAPIENS; HUMAN CYTOMEGALOVIRUS	homo sapiens	homo sapiens	human cytomegalovirus	Diestel, U., Muller, Y.A.	2.11	X-RAY DIFFRACTION	0.231	0.171	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None	4OT1_HL_A
3ghe	H	L	0	P	peptide		envelope glycoprotein	IMMUNE SYSTEM	03/03/09	Crystal structure of anti-HIV-1 Fab 537-10D in complex with V3 peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.P., Burke, V.J.	2.4	X-RAY DIFFRACTION	0.241	0.187	False	False	IGHV3	IGLV2	Lambda	1.30E-06	-8.03	Other	25	19913488	3GHE_HL_P
6iea	H	L	0	A	protein		nsmgngc	STRUCTURAL PROTEIN/IMMUNE SYSTEM	09/13/18	Structure of RVFV Gn and human monoclonal antibody R13	RIFT VALLEY FEVER VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	rift valley fever virus	Wang, Q.H., Wu, Y., Gao, F., Qi, J.X., Gao, G.F.	2.0	X-RAY DIFFRACTION	0.225	0.18100000000000002	False	True	IGHV4	IGLV5	Lambda	None	None	None	None	None	6IEA_HL_A
6cdo	A	B	0	C	peptide		hiv-1 fusion peptide 512-519	IMMUNE SYSTEM	02/08/18	Structure of vaccine-elicited HIV-1 neutralizing antibody vFP16.02 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.099	X-RAY DIFFRACTION	0.226	0.19399999999999998	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6CDO_AB_C
4ong	H	L	0	P	peptide		amyloid beta a4 protein	IMMUNE SYSTEM	01/28/14	Fab fragment of 3D6 in complex with amyloid beta 1-40	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Feinberg, H., Saldanha, J.W., Diep, L., Goel, A., Widom, A., Veldman, G.M., Weis, W.I., Schenk, D., Basi, G.S.	2.2	X-RAY DIFFRACTION	0.227	0.177	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None	4ONG_HL_P
4lqf	H	L	0	A	protein		a33r	IMMUNE SYSTEM	07/17/13	Structure of murine IgG2b A2C7-Fab in complex with vaccinia antigen A33R at the resolution of 2.3 Angstroms	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus	Matho, M.H., Schlossman, A.M., Zajonc, D.M.	2.3	X-RAY DIFFRACTION	0.230	0.19699999999999998	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None	4LQF_HL_A
6mhr	A	B	0	C	protein		tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.2	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	6MHR_AB_C
6mhr	D	E	0	F	protein		tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.2	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	6MHR_DE_F
5o14	C	D	0	B	protein		factor h binding protein variant 1.1	IMMUNE SYSTEM	05/18/17	Co-crystal structure of a cross-reactive bactericidal human antibody targeting meningococcal vaccine antigen factor H binding protein	NEISSERIA MENINGITIDIS SEROGROUP B (STRAIN MC58); HOMO SAPIENS	homo sapiens	homo sapiens	neisseria meningitidis serogroup b (strainmc58) 	Lopez-Sagaseta, J.	2.195	X-RAY DIFFRACTION	0.250	0.192	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None	5O14_CD_B
5o14	H	L	0	A	protein		factor h binding protein variant 1.1	IMMUNE SYSTEM	05/18/17	Co-crystal structure of a cross-reactive bactericidal human antibody targeting meningococcal vaccine antigen factor H binding protein	NEISSERIA MENINGITIDIS SEROGROUP B (STRAIN MC58); HOMO SAPIENS	homo sapiens	homo sapiens	neisseria meningitidis serogroup b (strainmc58) 	Lopez-Sagaseta, J.	2.195	X-RAY DIFFRACTION	0.250	0.192	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None	5O14_HL_A
5ock	H	L	0	A	peptide		cep1 peptide (from enolase)	IMMUNE SYSTEM	07/03/17	Crystal structure of ACPA E4 in complex with CEP1	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Dobritzsch, D., Ge, C., Holmdahl, R.	1.6	X-RAY DIFFRACTION	0.218	0.183	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None	5OCK_HL_A
7bxv	H	L	0	A	peptide		tyr-glu-val-his-his	IMMUNE SYSTEM	04/21/21	11A1 antibody-peptide complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Irie, K., Irie, Y., Kita, A., Miki, K.	1.75	X-RAY DIFFRACTION	0.194	0.166	False	False	IGHV9	IGKV1	Kappa	None	None	None	None	None	7BXV_HL_A
5lbs	H	L	0	A	protein		envelope protein e	IMMUNE SYSTEM-VIRAL PROTEIN	06/17/16	structural basis of Zika and Dengue virus potent antibody cross-neutralization	ZIKA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	zika virus	VANEY, M.C., ROUVINSKI, A., BARBA-SPAETH, G., REY, F.A.	2.41	X-RAY DIFFRACTION	0.217	0.19399999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	5LBS_HL_A
5lbs	I	M	0	B	protein		envelope protein e	IMMUNE SYSTEM-VIRAL PROTEIN	06/17/16	structural basis of Zika and Dengue virus potent antibody cross-neutralization	ZIKA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	zika virus	VANEY, M.C., ROUVINSKI, A., BARBA-SPAETH, G., REY, F.A.	2.41	X-RAY DIFFRACTION	0.217	0.19399999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	5LBS_IM_B
5gir	A	B	0	D	peptide		lys-pro-ile-ile-ile-gly-ser-his-ala-tyr-gly-asp	IMMUNE SYSTEM	06/24/16	Crystal structure of a Fab fragment with its ligand peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Kitago, Y., Kaneko, K.K., Ogasawara, S., Kato, Y., Takagi, J.	1.93	X-RAY DIFFRACTION	0.231	0.182	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None	5GIR_AB_D
5gir	H	L	0	C	peptide		lys-pro-ile-ile-ile-gly-ser-his-ala-tyr-gly-asp	IMMUNE SYSTEM	06/24/16	Crystal structure of a Fab fragment with its ligand peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Kitago, Y., Kaneko, K.K., Ogasawara, S., Kato, Y., Takagi, J.	1.93	X-RAY DIFFRACTION	0.231	0.182	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None	5GIR_HL_C
5tkj	J	K	0	L	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.1180000000000003	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5TKJ_JK_L
5tkj	A	B	0	C	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.1180000000000003	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5TKJ_AB_C
5tkj	G	H	0	I	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.1180000000000003	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5TKJ_GH_I
5tkj	D	E	0	F	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.1180000000000003	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5TKJ_DE_F
6xli	A	B	0	E	peptide		tau phosphopeptide (ac-sr(pt)pslp(pt)pptre-oh)	IMMUNE SYSTEM	06/28/20	CRYSTAL STRUCTURE OF ANTI-TAU ANTIBODY PT3 Fab+pT212/pT217-TAU PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T.J., Teplyakov, A., Luo, J.	2.0	X-RAY DIFFRACTION	0.213	0.18600000000000003	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None	6XLI_AB_E
6xli	C	D	0	F	peptide		tau phosphopeptide (ac-sr(pt)pslp(pt)pptre-oh)	IMMUNE SYSTEM	06/28/20	CRYSTAL STRUCTURE OF ANTI-TAU ANTIBODY PT3 Fab+pT212/pT217-TAU PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T.J., Teplyakov, A., Luo, J.	2.0	X-RAY DIFFRACTION	0.213	0.18600000000000003	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None	6XLI_CD_F
6xli	H	L	0	P	peptide		tau phosphopeptide (ac-sr(pt)pslp(pt)pptre-oh)	IMMUNE SYSTEM	06/28/20	CRYSTAL STRUCTURE OF ANTI-TAU ANTIBODY PT3 Fab+pT212/pT217-TAU PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T.J., Teplyakov, A., Luo, J.	2.0	X-RAY DIFFRACTION	0.213	0.18600000000000003	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None	6XLI_HL_P
6uvo	H	L	0	D	peptide		major surface glycoprotein g	VIRAL PROTEIN, IMMUNE SYSTEM	11/03/19	Structure of antibody 3G12 bound to the central conserved domain of RSV G	HOMO SAPIENS; HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2)	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2) 	Fedechkin, S.O., George, N.L., Nunez Castrejon, A.M., Dillen, J., Kauvar, L.M., DuBois, R.M.	2.9	X-RAY DIFFRACTION	0.209	0.193	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	6UVO_HL_D
5ogi		B	0	A	protein		hexon protein	VIRAL PROTEIN	07/13/17	Complex of a binding protein and human adenovirus C 5 hexon	MUS MUSCULUS; HUMAN ADENOVIRUS C SEROTYPE 5	mus musculus		human adenovirus c serotype 5	Schmid, M., Ernst, P., Honegger, A., Suomalainen, M., Zimmermann, M., Braun, L., Stauffer, S., Thom, C., Dreier, B., Eibauer, M., Kipar, A., Vogel, V., Greber, U.F., Medalia, O., Plueckthun, A.	2.8	X-RAY DIFFRACTION	0.235	0.198	True	True	unknown	unknown	unknown	None	None	None	None	None	5OGI_B_A
6co3	H	L	0	Q	peptide		ala-glu-phe-arg-his-asp	IMMUNE SYSTEM	03/10/18	aducanumab abeta complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Arndt, J.W.	2.384	X-RAY DIFFRACTION	0.235	0.18100000000000002	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6CO3_HL_Q
2qqk	H	L	0	A	protein		neuropilin-2	SIGNALING PROTEIN	07/26/07	Neuropilin-2 a1a2b1b2 Domains in Complex with a Semaphorin-Blocking Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Appleton, B.A., Wiesmann, C.	2.75	X-RAY DIFFRACTION	0.243	0.18600000000000003	False	True	IGHV3	IGKV1D	Kappa	None	None	None	None	None	2QQK_HL_A
3ujj	H	L	0	P	peptide		gp120	IMMUNE SYSTEM	11/07/11	Crystal structure of anti-HIV-1 V3 Fab 4025 in complex with Con A peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kong, X.P., Sampson, J.	2.0	X-RAY DIFFRACTION	0.213	0.177	False	False	IGHV5	IGLV3	Lambda	None	None	None	None	None	3UJJ_HL_P
3wih	H	L	0	A	protein		roundabout homolog 1	IMMUNE SYSTEM	09/12/13	Crystal structure of the third fibronectin domain (Fn3) of human ROBO1 in complex with the Fab fragment of murine monoclonal antibody B2212A.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Nakayama, T., Mizohata, E., Yamashita, T., Nagatoishi, M., Iwanari, H., Mochizuki, Y., Kado, Y., Yokota, Y., Sato, R., Tsumoto, K., Fujitani, H., Kodama, T., Hamakubo, T., Inoue, T.	1.7009999999999998	X-RAY DIFFRACTION	0.236	0.18899999999999997	False	False	IGHV1	IGKV10	Kappa	None	None	None	None	None	3WIH_HL_A
3wih	I	M	0	B	protein		roundabout homolog 1	IMMUNE SYSTEM	09/12/13	Crystal structure of the third fibronectin domain (Fn3) of human ROBO1 in complex with the Fab fragment of murine monoclonal antibody B2212A.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Nakayama, T., Mizohata, E., Yamashita, T., Nagatoishi, M., Iwanari, H., Mochizuki, Y., Kado, Y., Yokota, Y., Sato, R., Tsumoto, K., Fujitani, H., Kodama, T., Hamakubo, T., Inoue, T.	1.7009999999999998	X-RAY DIFFRACTION	0.236	0.18899999999999997	False	False	IGHV1	IGKV10	Kappa	None	None	None	None	None	3WIH_IM_B
5n7w	H	L	0	X	protein		interleukin-17a	IMMUNE SYSTEM	02/21/17	Computationally designed functional antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hargreaves, D., Breed, J.	1.96	X-RAY DIFFRACTION	0.250	0.19899999999999998	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5N7W_HL_X
5n7w	A	B	0	Y	protein		interleukin-17a	IMMUNE SYSTEM	02/21/17	Computationally designed functional antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hargreaves, D., Breed, J.	1.96	X-RAY DIFFRACTION	0.250	0.19899999999999998	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5N7W_AB_Y
