pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4fql	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/25/12	Influenza B HA Antibody (Fab) CR8033	HOMO SAPIENS	homo sapiens	homo sapiens		Dreyfus, C., Laursen, N.S., Wilson, I.A.	1.898	X-RAY DIFFRACTION	0.231	0.194	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6phc	A	B	0	I	protein	NA	25 kda ookinete surface antigen	IMMUNE SYSTEM	06/25/19	Pfs25 in complex with the human transmission blocking antibody 2544	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	McLeod, B.R., Julien, J.P.	2.9	X-RAY DIFFRACTION	0.238	0.200	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
6phc	C	D	0	E	protein	NA	25 kda ookinete surface antigen	IMMUNE SYSTEM	06/25/19	Pfs25 in complex with the human transmission blocking antibody 2544	PLASMODIUM FALCIPARUM; HOMO SAPIENS	homo sapiens	homo sapiens	plasmodium falciparum	McLeod, B.R., Julien, J.P.	2.9	X-RAY DIFFRACTION	0.238	0.200	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
6mqe	A	B	0	D	peptide	NA	hiv fusion peptide	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody DFPH-a.15 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	2.459	X-RAY DIFFRACTION	0.245	0.192	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6mqe	H	L	0	C	peptide	NA	hiv fusion peptide	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody DFPH-a.15 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	2.459	X-RAY DIFFRACTION	0.245	0.192	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
3mac	H	L	0	A	protein	NA	transmembrane glycoprotein	IMMUNE SYSTEM	03/23/10	crystal structure of GP41-derived protein complexed with fab 8062	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Li, M., Gustchina, E., Louis, J., Gustchina, A., Wlodawer, A., Clore, M.	2.5	X-RAY DIFFRACTION	0.264	0.200	False	True	IGHV1	IGLV3	Lambda	2.00E-07	-9.23	ITC	28	21085615
6w00	H	L	0	P	peptide	NA	npna2 peptide	IMMUNE SYSTEM	02/28/20	Crystal structure of Fab239 in complex with NPNA2 peptide from circumsporozoite protein	STREPTOCOCCUS SP. GROUP G; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Pholcharee, T., Oyen, D., Wilson, I.A.	1.853	X-RAY DIFFRACTION	0.206	0.187	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5ukq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/23/17	Structure of unliganded anti-gp120 CD4bs antibody DH522.2 Fab	MACACA MULATTA	macaca mulatta	macaca mulatta		Nicely, N.I.	2.1	X-RAY DIFFRACTION	0.230	0.174	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
6be2	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/24/17	Crystal structure of a polysaccharide-binding human Fab (F598)	HOMO SAPIENS	homo sapiens	homo sapiens		Soliman, C., Ramsland, P.A.	1.7	X-RAY DIFFRACTION	0.210	0.171	False	True	IGHV4	IGLV4	Lambda	None	None	None	None	None
6xca	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/08/20	Crystal structure of an anti-SARS-CoV-2 human neutralizing antibody Fab fragment, C105	HOMO SAPIENS	homo sapiens	homo sapiens		Sharaf, N.G., Barnes, C.O., Bjorkman, P.J.	1.8	X-RAY DIFFRACTION	0.214	0.186	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
5xaj	E	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/13/17	Structural mimicry of the dengue virus envelope glycoprotein revealed by the crystallographic study of an idiotype-anti-idiotype Fab complex.	DENGUE VIRUS	dengue virus	dengue virus		Wong, Y.H., Goh, B.C., Lescar, J.	2.5	X-RAY DIFFRACTION	0.239	0.185	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
5xaj	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/13/17	Structural mimicry of the dengue virus envelope glycoprotein revealed by the crystallographic study of an idiotype-anti-idiotype Fab complex.	DENGUE VIRUS	dengue virus	dengue virus		Wong, Y.H., Goh, B.C., Lescar, J.	2.5	X-RAY DIFFRACTION	0.239	0.185	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5xaj	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/13/17	Structural mimicry of the dengue virus envelope glycoprotein revealed by the crystallographic study of an idiotype-anti-idiotype Fab complex.	DENGUE VIRUS	dengue virus	dengue virus		Wong, Y.H., Goh, B.C., Lescar, J.	2.5	X-RAY DIFFRACTION	0.239	0.185	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5xaj	F	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/13/17	Structural mimicry of the dengue virus envelope glycoprotein revealed by the crystallographic study of an idiotype-anti-idiotype Fab complex.	DENGUE VIRUS	dengue virus	dengue virus		Wong, Y.H., Goh, B.C., Lescar, J.	2.5	X-RAY DIFFRACTION	0.239	0.185	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
2xwt	A	B	0	C	protein	NA	thyrotropin receptor	SIGNALING PROTEIN/IMMUNE SYSTEM	11/05/10	Crystal structure of the TSH receptor in complex with a blocking type  TSHR autoantibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Sanders, J., Sanders, P., Young, S., Kabelis, K., Baker, S., Sullivan, A., Evans, M., Clark, J., Wilmot, J., Hu, X., Roberts, E., Powell, M., Nunez Miguel, R., Furmaniak, J., Rees Smith, B.	1.9	X-RAY DIFFRACTION	0.22674	0.17691	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
1s5i	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/21/04	Fab (LNKB-2) of monoclonal antibody to Human Interleukin-2, crystal structure	MUS MUSCULUS	mus musculus	mus musculus		Pletnev, V.Z., Goryacheva, E.A., Tsygannik, I.N., Nesmeyanov, V.A., Pletnev, S.V., Pangborn, W., Duax, W.	2.7	X-RAY DIFFRACTION	0.275	0.200	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4npy	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/22/13	Crystal structure of germline Fab PGT121, a putative precursor of the broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Diwanji, D.C., Wilson, I.A.	1.796	X-RAY DIFFRACTION	0.220	0.182	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4npy	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/22/13	Crystal structure of germline Fab PGT121, a putative precursor of the broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Diwanji, D.C., Wilson, I.A.	1.796	X-RAY DIFFRACTION	0.220	0.182	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4nzr	H	L	0	M	protein	NA	protein m td	IMMUNE SYSTEM/PROTEIN BINDING	12/12/13	Crystal structure of the antibody-binding region of Protein M (Protein M TD) in complex with anti-HIV antibody PGT135 Fab	HOMO SAPIENS; MYCOPLASMA GENITALIUM	homo sapiens	homo sapiens	mycoplasma genitalium	Zhu, X., Wilson, I.A.	1.65	X-RAY DIFFRACTION	0.186	0.154	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
6b3d	H	L	0	H	carbohydrate	MAN	polysaccharide	IMMUNE SYSTEM	09/21/17	Crystal structure of anti-HIV antibody PGT128 in complex with a bacterially derived synthetic mimetic of Man9.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Murrell, S., Wilson, I.A.	2.271	X-RAY DIFFRACTION	0.198	0.163	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
6umi	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/09/19	Crystal structure of erenumab Fab-b	HOMO SAPIENS	homo sapiens	homo sapiens		Mohr, C.	2.4	X-RAY DIFFRACTION	0.220	0.184	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
5u3p	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/02/16	Crystal Structure of DH511.4 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Nicely, N.I., Williams, L.D., Ofek, G., Haynes, B.F.	1.5	X-RAY DIFFRACTION	0.211	0.188	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5u3o	H	L	0	A	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM/VIRAL PROTEIN	12/02/16	Crystal Structure of DH511.2_K3 Fab in Complex with HIV-1 gp41 MPER Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Wu, L., Lougheed, C.S., Williams, L.D., Nicely, N.I., Haynes, B.F.	1.761	X-RAY DIFFRACTION	0.192	0.161	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5u3n	H	L	0	A	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM/VIRAL PROTEIN	12/02/16	Crystal Structure of DH511.12P Fab in Complex with HIV-1 gp41 MPER Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Wu, L., Lougheed, C.S., Williams, L.D., Nicely, N.I., Haynes, B.F.	2.0	X-RAY DIFFRACTION	0.228	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4ot1	H	L	0	A	protein	NA	envelope glycoprotein b	VIRAL PROTEIN/IMMUNE SYSTEM	02/13/14	Structural Basis for the Recognition of Human Cytomegalovirus Glycoprotein B by the Neutralizing Human Antibody SM5-1	HOMO SAPIENS; HUMAN CYTOMEGALOVIRUS	homo sapiens	homo sapiens	human cytomegalovirus	Diestel, U., Muller, Y.A.	2.11	X-RAY DIFFRACTION	0.231	0.171	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
4ocr	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/09/14	Crystal structure of human Fab CAP256-VRC26.01, a potent V1V2-directed HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Gorman, J., Doria-Rose, N.A., Schramm, C.A., Moore, P.L., Mascola, J.R., Shapiro, L., Morris, L., Kwong, P.D.	1.895	X-RAY DIFFRACTION	0.200	0.180	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
3ghe	H	L	0	P	peptide	NA	envelope glycoprotein	IMMUNE SYSTEM	03/03/09	Crystal structure of anti-HIV-1 Fab 537-10D in complex with V3 peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.P., Burke, V.J.	2.4	X-RAY DIFFRACTION	0.241	0.187	False	False	IGHV3	IGLV2	Lambda	1.30E-06	-8.03	Other	25	19913488
6iea	H	L	0	A	protein	NA	nsmgngc	STRUCTURAL PROTEIN/IMMUNE SYSTEM	09/13/18	Structure of RVFV Gn and human monoclonal antibody R13	RIFT VALLEY FEVER VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	rift valley fever virus	Wang, Q.H., Wu, Y., Gao, F., Qi, J.X., Gao, G.F.	2.0	X-RAY DIFFRACTION	0.225	0.181	False	True	IGHV4	IGLV5	Lambda	None	None	None	None	None
6cdo	A	B	0	C	peptide	NA	hiv-1 fusion peptide 512-519	IMMUNE SYSTEM	02/08/18	Structure of vaccine-elicited HIV-1 neutralizing antibody vFP16.02 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.099	X-RAY DIFFRACTION	0.226	0.194	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4ong	H	L	0	P	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	01/28/14	Fab fragment of 3D6 in complex with amyloid beta 1-40	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Feinberg, H., Saldanha, J.W., Diep, L., Goel, A., Widom, A., Veldman, G.M., Weis, W.I., Schenk, D., Basi, G.S.	2.2	X-RAY DIFFRACTION	0.227	0.177	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
4lqf	H	L	0	A	protein	NA	a33r	IMMUNE SYSTEM	07/17/13	Structure of murine IgG2b A2C7-Fab in complex with vaccinia antigen A33R at the resolution of 2.3 Angstroms	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus	Matho, M.H., Schlossman, A.M., Zajonc, D.M.	2.3	X-RAY DIFFRACTION	0.230	0.197	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
6mhr	A	B	0	C	protein	NA	tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.200	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
6mhr	D	E	0	F	protein	NA	tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	09/18/18	Structure of the human 4-1BB / Urelumab Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M., Roe-Zurz, Z., Xu, A., Yang, Y.	2.8	X-RAY DIFFRACTION	0.222	0.200	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
5o14	C	D	0	B	protein	NA	factor h binding protein variant 1.1	IMMUNE SYSTEM	05/18/17	Co-crystal structure of a cross-reactive bactericidal human antibody targeting meningococcal vaccine antigen factor H binding protein	NEISSERIA MENINGITIDIS SEROGROUP B (STRAIN MC58); HOMO SAPIENS	homo sapiens	homo sapiens	neisseria meningitidis serogroup b (strainmc58) 	Lopez-Sagaseta, J.	2.195	X-RAY DIFFRACTION	0.250	0.192	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
5o14	H	L	0	A	protein	NA	factor h binding protein variant 1.1	IMMUNE SYSTEM	05/18/17	Co-crystal structure of a cross-reactive bactericidal human antibody targeting meningococcal vaccine antigen factor H binding protein	NEISSERIA MENINGITIDIS SEROGROUP B (STRAIN MC58); HOMO SAPIENS	homo sapiens	homo sapiens	neisseria meningitidis serogroup b (strainmc58) 	Lopez-Sagaseta, J.	2.195	X-RAY DIFFRACTION	0.250	0.192	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
5ock	H	L	0	A	peptide	NA	cep1 peptide (from enolase)	IMMUNE SYSTEM	07/03/17	Crystal structure of ACPA E4 in complex with CEP1	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Dobritzsch, D., Ge, C., Holmdahl, R.	1.6	X-RAY DIFFRACTION	0.218	0.183	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
7bxv	H	L	0	A	peptide	NA	tyr-glu-val-his-his	IMMUNE SYSTEM	04/21/21	11A1 antibody-peptide complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Irie, K., Irie, Y., Kita, A., Miki, K.	1.75	X-RAY DIFFRACTION	0.194	0.166	False	False	IGHV9	IGKV1	Kappa	None	None	None	None	None
5lbs	H	L	0	A	protein	NA	envelope protein e	IMMUNE SYSTEM-VIRAL PROTEIN	06/17/16	structural basis of Zika and Dengue virus potent antibody cross-neutralization	ZIKA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	zika virus	VANEY, M.C., ROUVINSKI, A., BARBA-SPAETH, G., REY, F.A.	2.41	X-RAY DIFFRACTION	0.217	0.194	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5lbs	I	M	0	B	protein	NA	envelope protein e	IMMUNE SYSTEM-VIRAL PROTEIN	06/17/16	structural basis of Zika and Dengue virus potent antibody cross-neutralization	ZIKA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	zika virus	VANEY, M.C., ROUVINSKI, A., BARBA-SPAETH, G., REY, F.A.	2.41	X-RAY DIFFRACTION	0.217	0.194	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5gir	A	B	0	D	peptide	NA	lys-pro-ile-ile-ile-gly-ser-his-ala-tyr-gly-asp	IMMUNE SYSTEM	06/24/16	Crystal structure of a Fab fragment with its ligand peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Kitago, Y., Kaneko, K.K., Ogasawara, S., Kato, Y., Takagi, J.	1.93	X-RAY DIFFRACTION	0.231	0.182	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
5gir	H	L	0	C	peptide	NA	lys-pro-ile-ile-ile-gly-ser-his-ala-tyr-gly-asp	IMMUNE SYSTEM	06/24/16	Crystal structure of a Fab fragment with its ligand peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Kitago, Y., Kaneko, K.K., Ogasawara, S., Kato, Y., Takagi, J.	1.93	X-RAY DIFFRACTION	0.231	0.182	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
2vxu	I	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/10/08	Crystal structure of murine reference antibody 125-2H Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Argiriadi, M.A., Xiang, T., Wu, C., Ghayur, T., Borhani, D.W.	2.36	X-RAY DIFFRACTION	0.242	0.184	False	True	IGHV1	IGKV9	Kappa	None	None	None	None	None
2vxu	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/10/08	Crystal structure of murine reference antibody 125-2H Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Argiriadi, M.A., Xiang, T., Wu, C., Ghayur, T., Borhani, D.W.	2.36	X-RAY DIFFRACTION	0.242	0.184	False	True	IGHV1	IGKV9	Kappa	None	None	None	None	None
1jnl	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/24/01	Crystal Structure of Fab-Estradiol Complexes	MUS MUSCULUS	mus musculus	mus musculus		Monnet, C., Bettsworth, F., Stura, E.A., Le Du, M.-H., Menez, R., Derrien, L., Zinn-Justin, S., Gilquin, B., Sibai, G., Battail-Poirot, N., Jolivet, M., Menez, A., Arnaud, M., Ducancel, F., Charbonnier, J.B.	3.0	X-RAY DIFFRACTION	0.290	0.195	False	False	IGHV14	IGKV12	Kappa	None	None	None	None	None
5ggq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/16/16	Crystal structure of Nivolumab Fab fragment		homo sapiens	homo sapiens		Heo, Y.S.	1.9	X-RAY DIFFRACTION	0.226	0.196	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
1c5b	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/08/99	DECARBOXYLASE CATALYTIC ANTIBODY 21D8 UNLIGANDED FORM	MUS MUSCULUS, HOMO SAPIENS	mus musculus, homo sapiens	mus musculus, homo sapiens		Hotta, K., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.238	0.188	False	True	IGHV1	IGKV9	Kappa	None	None	None	None	None
4qf1	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/19/14	Crystal structure of unliganded CH59UA, the inferred unmutated ancestor of the RV144 anti-HIV antibody lineage producing CH59	HOMO SAPIENS	homo sapiens	homo sapiens		Wiehe, K., Easterhoff, D., Luo, K., Nicely, N.I., Bradley, T., Jaeger, F.H., Dennison, S.M., Zhang, R., Lloyd, K.E., Stolarchuk, C., Parks, R., Sutherland, L.L., Scearce, R.M., Morris, L., Kaewkungwal, J., Nitayaphan, S., Pitisuttithum, P., Rerks-Ngarm, S., Michael, N., Kim, J., Kelsoe, G., Montefiori, D.C., Tomaras, G., Bonsignori, M., Santra, S., Kepler, T.B., Alam, S.M., Moody, M.A., Liao, H.-X., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.229	0.182	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
4qf1	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/19/14	Crystal structure of unliganded CH59UA, the inferred unmutated ancestor of the RV144 anti-HIV antibody lineage producing CH59	HOMO SAPIENS	homo sapiens	homo sapiens		Wiehe, K., Easterhoff, D., Luo, K., Nicely, N.I., Bradley, T., Jaeger, F.H., Dennison, S.M., Zhang, R., Lloyd, K.E., Stolarchuk, C., Parks, R., Sutherland, L.L., Scearce, R.M., Morris, L., Kaewkungwal, J., Nitayaphan, S., Pitisuttithum, P., Rerks-Ngarm, S., Michael, N., Kim, J., Kelsoe, G., Montefiori, D.C., Tomaras, G., Bonsignori, M., Santra, S., Kepler, T.B., Alam, S.M., Moody, M.A., Liao, H.-X., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.229	0.182	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
6eyn	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/13/17	Structure of the 8D6 (anti-IgE) Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Chen, J.B., Ramadani, F., Pang, M.O.Y., Beavil, R.L., Holdom, M.D., Mitropoulou, A.N., Beavil, A.J., Gould, H.J., Chang, T.W., Sutton, B.J., McDonnell, J.M., Davies, A.M.	2.4	X-RAY DIFFRACTION	0.212	0.181	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6eyn	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/13/17	Structure of the 8D6 (anti-IgE) Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Chen, J.B., Ramadani, F., Pang, M.O.Y., Beavil, R.L., Holdom, M.D., Mitropoulou, A.N., Beavil, A.J., Gould, H.J., Chang, T.W., Sutton, B.J., McDonnell, J.M., Davies, A.M.	2.4	X-RAY DIFFRACTION	0.212	0.181	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6eyn	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/13/17	Structure of the 8D6 (anti-IgE) Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Chen, J.B., Ramadani, F., Pang, M.O.Y., Beavil, R.L., Holdom, M.D., Mitropoulou, A.N., Beavil, A.J., Gould, H.J., Chang, T.W., Sutton, B.J., McDonnell, J.M., Davies, A.M.	2.4	X-RAY DIFFRACTION	0.212	0.181	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5tkj	J	K	0	L	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.118	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5tkj	A	B	0	C	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.118	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5tkj	G	H	0	I	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.118	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5tkj	D	E	0	F	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	10/06/16	Structure of vaccine-elicited diverse HIV-1 neutralizing antibody vFP1.01 in complex with HIV-1 fusion peptide residue 512-519	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Xu, K., Liu, K., Kwong, P.D.	2.118	X-RAY DIFFRACTION	0.241	0.198	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6ugv	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/26/19	Crystal structure of the Fab fragment of anti-TNFa antibody infliximab (Remicade) in a I-centered orthorhombic crystal form, Lot C	HOMO SAPIENS	homo sapiens	homo sapiens		Lerch, T.F., Sharpe, P., Mayclin, S.J., Edwards, T.E., Polleck, S., Rouse, J.C., Conlan, H.D.	2.4	X-RAY DIFFRACTION	0.210	0.153	False	True	IGHV6	IGKV5	Kappa	None	None	None	None	None
6ugv	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/26/19	Crystal structure of the Fab fragment of anti-TNFa antibody infliximab (Remicade) in a I-centered orthorhombic crystal form, Lot C	HOMO SAPIENS	homo sapiens	homo sapiens		Lerch, T.F., Sharpe, P., Mayclin, S.J., Edwards, T.E., Polleck, S., Rouse, J.C., Conlan, H.D.	2.4	X-RAY DIFFRACTION	0.210	0.153	False	True	IGHV6	IGKV5	Kappa	None	None	None	None	None
6xli	A	B	0	E	peptide	NA	tau phosphopeptide (ac-sr(pt)pslp(pt)pptre-oh)	IMMUNE SYSTEM	06/28/20	CRYSTAL STRUCTURE OF ANTI-TAU ANTIBODY PT3 Fab+pT212/pT217-TAU PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T.J., Teplyakov, A., Luo, J.	2.0	X-RAY DIFFRACTION	0.213	0.186	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None
6xli	C	D	0	F	peptide	NA	tau phosphopeptide (ac-sr(pt)pslp(pt)pptre-oh)	IMMUNE SYSTEM	06/28/20	CRYSTAL STRUCTURE OF ANTI-TAU ANTIBODY PT3 Fab+pT212/pT217-TAU PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Malia, T.J., Teplyakov, A., Luo, J.	2.0	X-RAY DIFFRACTION	0.213	0.186	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None
